name,stand_number,pavilion,hall,website,email,phone,description
Cassina,B12,Pavilion 6,Hall 6,https://www.cassina.com,info@cassina.com,+39 0362 372.1,"Italian luxury furniture manufacturer"
Molteni&C,D04,Pavilion 6,Hall 6,https://www.molteni.it,info@molteni.it,+39 0362 359.1,"Modern furniture and contract solutions"
Poliform,A20,Pavilion 8,Hall 8,https://www.poliform.it,info@poliform.it,+39 031 695.701,"Living, dining, bedroom, kitchen systems"
B&B Italia,C02,Pavilion 6,Hall 6,https://www.bebitalia.com,beb@bebitalia.it,+39 031 7951,"Iconic Italian design since 1966"
Flexform,B30,Pavilion 8,Hall 8,https://www.flexform.it,info@flexform.it,+39 0362 3991,"Sofas, armchairs, beds — refined modern design"
Minotti,A12,Pavilion 6,Hall 6,https://www.minotti.com,info@minotti.com,+39 0362 343.1,"High-end indoor and outdoor collections"
Kartell,D11,Pavilion 12,Hall 12,https://www.kartell.com,kartell@kartell.it,+39 02 900.121,"Innovative plastic design furniture"
Artemide,C18,Pavilion 13,Hall 13,https://www.artemide.com,info@artemide.com,+39 02 935.181,"Lighting design and innovation"
Flos,B22,Pavilion 13,Hall 13,https://www.flos.com,info@flos.it,+39 030 24381,"Decorative and architectural lighting"
Boffi,A06,Pavilion 24,Hall 24,https://www.boffi.com,info@boffi.com,+39 0362 5341,"Kitchen and bathroom systems"
